Affiliation,Facility Name,Address,City,State,Zip Code,Phone,Facility Type,Behavioral Health,Dental,Pharmacy,Website
IHS,Aberdeen Area Youth Regional Treatment Center (AAYRTC),12451 Highway 1806,Mobridge,SD,57601,605-845-7181,Alcohol Substance Abuse Treatment Facility,No,No,No,http://www.ihs.gov/aberdeen/index.cfm?module=ab_ao_hf_ayrtc
IHS,Cheyenne River Hospital,317 Main Street,Eagle Butte,SD,57625,605-964-7724,Hospital,No,No,Yes,http://www.ihs.gov/aberdeen/index.cfm?module=ab_ao_hf_crsu
IHS,Spirit Lake Health Center,3883 74th Avenue NE,Fort Totten,ND,58335,701-766-1600,Health Center,No,No,Yes,http://www.ihs.gov/Aberdeen/index.cfm?module=ab_ao_hf_slsu
IHS,Manderson Health Station,P.O. Box 350 Wounded Knee Dist,Manderson,SD,57756,605-867-5131,Health Station,No,No,No,NULL
IHS,Fort Yates Hospital,1010 River Road (Highway 1806),Fort Yates,ND,58538,701-854-3831,Hospital,No,No,Yes,http://www.ihs.gov/Aberdeen/index.cfm?module=ab_ao_hf_slsu
IHS,Wakpala Health Station,N/A,Wakpala,SD,57658,701-854-3831,Health Station,No,No,No,NULL
IHS,Red Scaffold Health Station,317 Main,Eagle Butte,SD,57625,605-964-8917,Health Station,No,No,No,NULL
Title 1 (Tribal),Cheyenne River Sioux Tribal Field Health Clinic,312 Main Street,Eagle Butte,SD,57625,605-964-8917,Health Location,No,No,No,NULL
IHS,Wellness Center,,Eagle Butte,SD,57625,605-964-8182,Other,No,No,No,NULL
Title 1 (Tribal),Mandaree Health Station Satellite of Minnetohe Health Center Fort Berthold,305 Main Street,Mandaree,ND,58757,701-627-4701,Health Station,No,No,No,NULL
IHS,Healing Spirit Community Rehabilitation Center,2615 Douglas Street,Sioux City,IA,51105,N/A,Alcohol Substance Abuse Treatment Facility,No,No,No,NULL
IHS,Lincoln,1701 E St.,Lincoln,NE,68508,402-438-9222,Other,No,No,No,NULL
Title 1 (Tribal),Carl T Curtis Health Education Center and Nursing Home,100 Indian Hills Drive,Macy,NE,68039,402-837-5381,Health Center,No,No,No,NULL
IHS,Albuquerque Indian Health Center,801 Vassar Dr NE,Albuquerque,NM,87106,505-248-4000,Health Center,Yes,No,Yes,http://www.ihs.gov/FacilitiesServices/areaOffices/albuquerque/index.cfm?module=abq_albuquerque_su
IHS,Santa Ana Health Station,"02-C Dove Rd Pueblo, Station A",Bernalillo,NM,87004,505-867-2497,Health Station,No,No,No,NULL
Title 5 (638),Sandia Health Station,203 Sandia Day School Road,Bernalillo,NM,87004,505-867-4696,Health Station,Yes,Yes,No,NULL
IHS,Zia Pueblo Health Station,155 Capital Square,Zia Pueblo,NM,87053,505-867-5258,Health Station,No,Yes,Yes,NULL
IHS,Acoma-Canoncito-Laguna (ACL) Hospital,80 B Veterans Boulevard,Acoma,NM,87034,505-552-5300,Hospital,Yes,Yes,Yes,http://www.ihs.gov/FacilitiesServices/areaOffices/albuquerque/index.cfm?module=abq_acoma_canoncito_laguna_su
IHS,Laguna Health Center,"Interstate 40 @ Exit 108, State Road 124 ",New Laguna,NM,87049,505-552-6644,Health Center,No,Yes,No,NULL
IHS,Tohajiilee Teen Center,I-40 West/Exit 131 Hwy 56 N,Tohajiilee,NM,87026,505-831-3377,Other,Yes,No,No,NULL
IHS,Mescalero Hospital,318 Abalone Loop,Mescalero,NM,88340,575-464-4441,Hospital,Yes,Yes,Yes,http://www.ihs.gov/FacilitiesServices/areaOffices/albuquerque/index.cfm?module=abq_mescalero_su
IHS,Santa Fe Hospital,1700 Cerrillos Road,Santa Fe,NM,87501,505-988-9821,Hospital,Yes,Yes,Yes,http://www.ihs.gov/FacilitiesServices/areaOffices/albuquerque/index.cfm?module=abq_santa_fe_su
IHS,Santa Clara Health Center,RR5 Box 446,Espanola,NM,87532,505-753-9421,Health Center,Yes,Yes,Yes,NULL
IHS,Cochiti Health Station,255 Cochiti St,Cochiti Pueblo,NM,87072,505-465-2587,Health Station,Yes,Yes,No,NULL
IHS,San Felipe Health Station,127 Hagen Road,San Felipe,NM,87001,505-867-2739,Health Station,No,No,Yes,NULL
IHS,Santa Fe Indian School,1501 Cerrillos Road,Santa Fe,NM,87505,505-989-6300,School Health Center,No,No,No,NULL
IHS,Zuni Comprehensive Community Health Center,Route 301 North “B” Street,Zuni,NM,87327,505-782-4431,Hospital,Yes,Yes,Yes,http://www.ihs.gov/FacilitiesServices/areaOffices/albuquerque/index.cfm?module=abq_zuni_ramah_su
Title 1 (Tribal),Southern Ute Health Center,123 Weeminuche,Ignacio,CO,81137,970-563-4581,Health Center,Yes,Yes,Yes,http://www.ihs.gov/FacilitiesServices/areaOffices/albuquerque/index.cfm?module=abq_southern_colorado_ute_su
IHS,Ute Mountain Health Center,"232 Rustling Willow St, Complex D",Towaoc,CO,81334,970-565-4441,Health Center,Yes,Yes,Yes,NULL
IHS,White Mesa Health Station,14 Willow Street,Towaoc,CO,81334,435-678-2261,Health Station,No,No,No,NULL
IHS,Dulce Health Center,12000 Stone Lake Rd,Dulce,NM,87528,575-759-3291,Health Center,Yes,Yes,Yes,http://www.ihs.gov/FacilitiesServices/areaOffices/albuquerque/index.cfm?module=abq_acoma_canoncito_laguna_su
IHS,Taos Picuris Health Center,1090 Goat Springs Rd,Taos Pueblo,NM,87571,575-758-4224,Health Center,Yes,Yes,Yes,NULL
IHS,Picuris Health Location,1090 Goat Springs Rd,Taos Pueblo,NM,87571,575-758-4224,Health Location,No,No,No,NULL
Title 1 (Tribal),Isleta Pueblo Health Center,31 Sagebrush St,Albuquerque,NM,87105,505-869-3200,Health Center,Yes,Yes,No,NULL
Title 5 (638),Jemez Health Center,110 Sheepsprings Rd,Jemez Pueblo,NM,87024,575-834-7413,Health Center,Yes,Yes,Yes,NULL
Title 1 (Tribal),Alamo Health Center,Indiann Service Route 54,Alamo,NM,87825,575-854-2626,Health Center,Yes,Yes,Yes,NULL
